                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.34818,                 0.2057,                0.79248,                0.99874,                      1,                  0.995,                0.89511,                0.32524,                0.17135,                 0.7667,              0.0007715,              0.0007715,              0.0007715
                    119,                0.34833,                0.20242,                0.79676,                0.99863,                      1,                  0.995,                0.89156,                0.32696,                0.16483,                0.76585,             0.00076738,             0.00076738,             0.00076738
                    120,                0.34799,                0.20021,                0.79629,                0.99903,                      1,                  0.995,                0.90895,                0.31737,                0.18017,                0.76414,             0.00076325,             0.00076325,             0.00076325
                    121,                0.36523,                 0.2087,                0.79859,                0.99897,                      1,                  0.995,                0.90384,                0.32569,                0.17366,                0.76521,             0.00075912,             0.00075912,             0.00075912
                    122,                0.35606,                0.20366,                0.79523,                0.99838,                      1,                  0.995,                0.89954,                0.33954,                0.18112,                0.76859,               0.000755,               0.000755,               0.000755
                    123,                0.34514,                0.20377,                0.79782,                 0.9984,                      1,                  0.995,                0.89748,                0.33344,                0.17888,                0.76864,             0.00075088,             0.00075088,             0.00075088
                    124,                0.34569,                0.20234,                0.79751,                0.99865,                      1,                  0.995,                0.90271,                 0.3234,                0.17764,                0.76762,             0.00074675,             0.00074675,             0.00074675
                    125,                0.35171,                0.20762,                0.79875,                0.99869,                      1,                  0.995,                0.87488,                0.33751,                0.18274,                0.76897,             0.00074263,             0.00074263,             0.00074263
                    126,                0.34908,                 0.1983,                0.79728,                0.99779,                      1,                  0.995,                0.89779,                0.32301,                0.17564,                0.76535,              0.0007385,              0.0007385,              0.0007385
                    127,                0.35331,                0.20844,                0.79739,                0.99917,                      1,                  0.995,                0.89423,                0.32877,                0.17789,                0.76664,             0.00073437,             0.00073437,             0.00073437
                    128,                 0.3528,                0.20296,                0.79678,                0.99846,                      1,                  0.995,                0.88853,                0.34512,                0.17949,                0.76816,             0.00073025,             0.00073025,             0.00073025
